HORA,JANELA_ATIVA (O que o usuário vê),PROCESSO_DA_JANELA,PID,MEMORIA_RAM(MB),SITE_DETECTADO (Via Título/Rede),PORTAS_ABERTAS (LISTEN),CONEXOES_EXTERNAS (IPs)
13:21:50,Pessoa,Desktop.exe,23376,94.4,-,,191.239.243.77:9322
13:21:51,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,95.1,-,,191.239.243.77:9322
13:21:52,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,95.1,-,,191.239.243.77:9322
13:21:53,Informação,Desktop.exe,23376,95.3,-,,191.239.243.77:9322
13:21:54,Informação,Desktop.exe,23376,95.3,-,,191.239.243.77:9322
13:21:55,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,95.4,-,,191.239.243.77:9322
13:21:56,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,95.4,-,,191.239.243.77:9322
13:21:57,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,96.4,-,,191.239.243.77:9322
13:21:58,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,96.9,-,,191.239.243.77:9322
13:21:59,Confirmação,Desktop.exe,23376,97.0,-,,191.239.243.77:9322
13:22:00,Confirmação,Desktop.exe,23376,97.0,-,,191.239.243.77:9322
13:22:01,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,97.4,-,,191.239.243.77:9322
13:22:02,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,97.4,-,,191.239.243.77:9322
13:22:03,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,98.5,-,,191.239.243.77:9322
13:22:04,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,99.8,-,,191.239.243.77:9322
13:22:05,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,99.9,-,,191.239.243.77:9322
13:22:06,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,102.8,-,,191.239.243.77:9322
13:22:07,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.2,-,,191.239.243.77:9322
13:22:08,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.6,-,,191.239.243.77:9322
13:22:09,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,104.2,-,,191.239.243.77:9322
13:22:10,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.3,-,,191.239.243.77:9322
13:22:11,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.3,-,,191.239.243.77:9322
13:22:12,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.4,-,,191.239.243.77:9322
13:22:13,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:14,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:15,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:16,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:17,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:18,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:19,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:20,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:21,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:22,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:23,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:24,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:25,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:26,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
