TIMESTAMP,PROCESSO_NOME,PID,CPU_USO(%),MEMORIA_USO(MB),TIPO_CONEXAO,IP_LOCAL,PORTA_LOCAL,IP_REMOTO,PORTA_REMOTA,HOSTNAME_REMOTO (SITE),CAMINHO_EXE
13:17:03,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,51255,52.168.112.66,443,-,-
13:17:03,System,4,0.0,0.2,LISTEN,::,445,-,-,-,
13:17:03,svchost.exe,1200,0.0,13.1,LISTEN,::,135,-,-,-,C:\Windows\System32\svchost.exe
13:17:03,svchost.exe,5904,0.0,1.6,LISTEN,0.0.0.0,5040,-,-,-,C:\Windows\System32\svchost.exe
13:17:03,wininit.exe,904,0.0,0.4,LISTEN,0.0.0.0,49665,-,-,-,C:\Windows\System32\wininit.exe
13:17:03,Desktop.exe,23376,0.0,100.2,ESTABLISHED,192.168.10.102,52533,191.239.243.77,9322,Use um site de Whois com o IP,D:\HeadCargo Pancaldi\Desktop.exe
13:17:03,EditorConsulta.exe,15912,0.0,1.3,ESTABLISHED,192.168.10.102,62414,20.197.224.0,9322,Use um site de Whois com o IP,C:\Users\Kauan Lauer\Documents\Editor de Consultas\EditorConsulta.exe
13:17:03,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61822,191.239.243.77,9322,-,-
13:17:03,SSMS.exe,18644,0.0,37.1,ESTABLISHED,192.168.10.102,52162,20.226.29.104,9322,Use um site de Whois com o IP,C:\Program Files\Microsoft SQL Server Management Studio 22\Release\Common7\IDE\SSMS.exe
13:17:03,chrome.exe,4972,0.0,31.7,ESTABLISHED,192.168.10.102,60536,142.251.0.188,5228,Use um site de Whois com o IP,C:\Program Files\Google\Chrome\Application\chrome.exe
13:17:03,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61817,191.239.243.77,9322,-,-
13:17:03,tawk.to.exe,18000,0.0,3.1,ESTABLISHED,192.168.10.102,53579,34.171.109.6,443,Use um site de Whois com o IP,C:\Program Files\tawk.to\tawk.to.exe
13:17:03,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,65078,-,-
13:17:05,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,65079,-,-
